admNm,admCd,xAxis,yAxis,popCnt,storeCnt,saleAmt
중계4동,11350624,318843,562222,"1,403",29,"16,460,000"
도봉1동,11320521,315816,564464,"3,545",34,"17,180,000"
도봉2동,11320522,316081,563461,"3,312",24,8820000
상계1동,11350630,316836,564591,"3,980",55,"13,420,000"
방학2동,11320700,315066,563309,633,20,"10,730,000"
상계8동,11350700,316520,563130,"2,594",12,"34,850,000"
종로5.6가동,11110630,312305,552665,"4,021",49,"16,000,000"
창신2동,11110680,312823,552925,475,10,"14,290,000"
창신3동,11110690,313168,553318,587,4,"13,200,000"
숭인1동,11110700,313247,553294,903,3,"25,440,000"
용신동,11230536,315157,553050,"7,734",65,"12,870,000"
이화동,11110640,312250,553211,"2,712",67,"20,060,000"
전농1동,11230560,316083,553282,"6,354",48,"15,260,000"
답십리2동,11230610,317268,552096,"1,807",24,"13,600,000"
창신1동,11110670,313302,552505,"1,694",18,"12,400,000"
광희동,11140590,312296,551821,"6,051",76,"16,690,000"
신당5동,11140650,313784,551880,"1,234",16,"23,580,000"
왕십리도선동,11200535,314636,551967,"2,983",37,"16,030,000"
장안2동,11230660,318103,553317,"4,047",64,"13,900,000"
청량리동,11230705,316053,554204,"2,769",21,"10,210,000"
황학동,11140670,313744,552135,"1,622",18,"23,890,000"
보문동,11290610,313884,553571,"1,595",25,7270000
숭인2동,11110710,313627,552963,"3,228",18,"16,470,000"
제기동,11230545,315214,553863,"4,820",39,8270000
안암동,11290600,313764,554177,"2,320",94,"12,290,000"
마장동,11200540,315865,551991,"2,484",16,"13,340,000"
용답동,11200790,316760,551732,"4,380",27,"13,020,000"
전농2동,11230570,317168,553284,"2,203",25,"12,550,000"
답십리1동,11230600,316390,552596,"2,366",32,"16,600,000"
장안1동,11230650,317722,552139,"4,169",49,"15,040,000"
상도4동,11590560,306273,544798,"1,564",23,"17,240,000"
신대방2동,11590680,305101,544569,"3,192",62,"17,600,000"
영등포동,11560535,303905,547023,"9,532",109,"16,230,000"
노량진1동,11590510,306662,546093,"8,640",64,"14,070,000"
상도2동,11590540,306680,545335,"4,266",34,"20,510,000"
영등포본동,11560515,303778,546389,"4,815",33,"15,910,000"
신길7동,11560690,304843,545458,"2,783",11,"16,140,000"
상도1동,11590530,307624,544506,"5,132",64,"10,240,000"
상도3동,11590550,305709,544642,"1,826",24,"13,610,000"
대방동,11590660,305271,545649,"4,868",39,"22,350,000"
신길1동,11560630,304845,545970,"3,012",11,"19,030,000"
노량진2동,11590520,306247,545678,"2,427",20,"14,230,000"
여의동,11560540,306016,546699,"21,168",228,"24,040,000"
신길4동,11560660,303945,545695,523,13,4850000
흑석동,11590605,308828,545345,"4,578",35,"15,520,000"
화곡8동,11500593,298409,548454,"1,366",25,"15,740,000"
명일1동,11740530,324733,550068,"2,163",55,"17,800,000"
송천동,11305555,314020,557779,"5,540",34,"12,330,000"
방배4동,11650621,311077,543459,"2,942",60,"13,830,000"
암사1동,11740570,323557,550269,"1,485",47,6410000
조원동,11620725,303600,542827,"2,322",28,"14,770,000"
대학동,11620735,306164,541470,"4,548",49,"10,240,000"
방화1동,11500630,295697,552666,"5,325",72,"16,720,000"
